Feature1,Feature2,Feature3,Feature4,Feature5,Feature6,Feature7,ClassLabel
Good,Excellent,LOW,Other University,A-,0,Low,yes
Good,Excellent,LOW,Mumbai University,B,0,Low,yes
Excellent,Average,AVERAGE,Other University,A-,0,Low,yes
Excellent,Excellent,LOW,Other University,B,0,Low,yes
Good,Excellent,AVERAGE,Other University,A,0,Low,yes
Excellent,Good,LOW,Other University,B+,0,Low,yes
Good,Good,LOW,Other University,B+,1,Low,yes
Good,Good,GOOD,Other University,A-,0,Low,yes
Good,Good,LOW,Other University,A-,1,Low,yes
Excellent,Good,LOW,Mumbai University,B+,0,Low,yes
Excellent,Excellent,LOW,Mumbai University,B,0,Low,yes
Good,Good,GOOD,Hyderabad University,B+,0,Low,yes
Good,Good,LOW,Other University,B+,0,Low,yes
Excellent,Good,AVERAGE,Other University,A-,0,Low,yes
Good,Good,LOW,Other University,B,0,Low,yes
Good,Good,GOOD,Pune University,B,0,Low,yes
Good,Good,LOW,Mumbai University,B,0,Low,yes
Excellent,Excellent,GOOD,Mumbai University,B+,0,Low,yes
Excellent,Good,LOW,Other University,B+,0,Low,yes
Average,Excellent,LOW,Mumbai University,B,0,Low,yes
Good,Excellent,GOOD,Pune University,B,0,Low,yes
Excellent,Good,AVERAGE,Pune University,B+,0,Low,yes
Good,Good,AVERAGE,Mumbai University,B+,0,Low,yes
Excellent,Good,AVERAGE,Mumbai University,B,0,Low,yes
Good,Good,AVERAGE,Mumbai University,B+,0,Low,yes
Excellent,Excellent,AVERAGE,IIT,A-,0,Low,yes
Good,Excellent,GOOD,Other University,B,0,Low,yes
Good,Good,AVERAGE,Pune University,B+,0,Low,yes
Good,Good,LOW,Hyderabad University,B+,0,Low,yes
Excellent,Average,AVERAGE,Other University,A-,0,Low,yes
Good,Excellent,HIGH,Other University,B+,0,High,yes
Good,Good,AVERAGE,Other University,A-,0,Low,yes
Excellent,Good,AVERAGE,Other University,B+,0,Low,yes
Excellent,Good,AVERAGE,Mumbai University,B+,0,Low,yes
Good,Good,LOW,Pune University,B+,0,Low,yes
Excellent,Excellent,LOW,Mumbai University,B,0,Low,yes
Excellent,Good,AVERAGE,Hyderabad University,B+,0,Low,yes
Excellent,Excellent,AVERAGE,Pune University,B,0,Low,yes
Good,Excellent,AVERAGE,NIT,A-,0,Low,yes
Excellent,Excellent,GOOD,NIT,B+,0,Low,yes
Good,Good,AVERAGE,Mumbai University,B+,0,Low,yes
Good,Good,GOOD,Other University,A-,0,Low,yes
Excellent,Excellent,LOW,Other University,B+,0,Low,yes
Excellent,Excellent,LOW,Other University,B+,0,Low,yes
Low,Bad,LOW,NIT,B+,0,Low,yes
Excellent,Good,LOW,Hyderabad University,A-,0,Low,yes
Excellent,Good,AVERAGE,Other University,B+,0,High,yes
Excellent,Good,LOW,Other University,A-,1,Low,yes
Good,Excellent,GOOD,Hyderabad University,A-,0,Low,yes
Excellent,Excellent,AVERAGE,Other University,B+,0,Low,yes
Excellent,Average,AVERAGE,Mumbai University,B,0,Low,yes
Low,Bad,LOW,Other University,A,0,Low,yes
Good,Good,LOW,Other University,A-,0,Low,yes
Good,Bad,LOW,VIT,B+,0,Low,yes
Good,Excellent,LOW,Pune University,B+,0,Low,yes
Excellent,Excellent,GOOD,Mumbai University,B+,0,Low,yes
Good,Good,LOW,Other University,B+,0,Low,yes
Good,Good,GOOD,Other University,A-,0,Low,yes
Good,Excellent,LOW,Mumbai University,B,1,Low,yes
Excellent,Excellent,LOW,Other University,B+,0,Low,yes
Excellent,Excellent,LOW,Mumbai University,A-,0,Low,yes
Low,Bad,LOW,Other University,B+,0,Low,yes
Good,Good,LOW,Mumbai University,A-,0,Low,yes
Excellent,Good,AVERAGE,Other University,A-,0,Low,yes
Excellent,Good,GOOD,IIT,B+,1,Low,yes
Good,Average,LOW,Mumbai University,B,0,Low,yes
Good,Good,LOW,Other University,A-,0,Low,yes
Good,Good,LOW,Mumbai University,B+,0,Low,yes
